        ra        |          dec          | psfmag_u | psfmagerr_u | psfmag_g | psfmagerr_g | psfmag_r | psfmagerr_r | psfmag_i | psfmagerr_i | psfmag_z | psfmagerr_z 
------------------+-----------------------+----------+-------------+----------+-------------+----------+-------------+----------+-------------+----------+-------------
 162.511772738531 |   -0.0102393238843997 |  12.8243 | 0.000856368 |   13.145 | 0.000448358 |  13.6694 | 0.000633712 |  14.0561 |   0.0244719 |  14.3966 |   0.0249384
 162.571344870289 |    0.0165205071160309 |  25.8336 |    0.593664 |  21.8722 |    0.067351 |  20.3136 |   0.0302039 |  18.8765 |   0.0228915 |  18.1305 |   0.0289434
 162.560047808967 |   -0.0374970109148987 |  22.3128 |    0.164478 |     21.1 |   0.0341856 |  20.6017 |    0.037433 |  20.4118 |   0.0408687 |  20.3072 |     0.12047
 162.564316487913 |    0.0605126217017874 |  22.1963 |    0.226581 |  21.1882 |   0.0399476 |  20.9143 |   0.0434468 |  20.7917 |   0.0517539 |  21.1106 |    0.260848
 162.473125409236 |    0.0538803556341539 |  24.2152 |    0.966777 |  25.0995 |    0.520405 |  24.8748 |    0.653839 |  23.2124 |    0.272692 |  20.6096 |    0.525712
  162.59875518021 |   0.00776759077350168 |  24.0163 |    0.889761 |   24.284 |    0.448164 |  23.8892 |    0.524978 |  22.0531 |    0.154021 |  21.9078 |    0.486266
  162.50474453355 |   -0.0744854532541338 |  23.6409 |    0.451989 |   22.607 |    0.105183 |  21.8452 |   0.0919586 |  21.7248 |    0.103691 |  21.4315 |    0.305865
 162.524883419329 |    0.0819307864708737 |  22.7702 |    0.364102 |  23.6336 |    0.256684 |  23.0372 |     0.25336 |   22.141 |    0.156992 |  21.6582 |    0.397897
 162.475775894136 |    0.0109509577442362 |  25.7129 |    0.651393 |  22.5604 |    0.108224 |  22.2553 |    0.128127 |  22.0294 |    0.142342 |  21.9109 |     0.48167
 162.635383835256 |   -0.0553036312835108 |  22.0191 |    0.126842 |  20.9788 |   0.0312571 |   20.511 |   0.0331258 |  20.3673 |   0.0349154 |  20.0862 |    0.101344
 162.501848383881 |     0.072074444285343 |  24.4839 |     0.99449 |  23.1345 |    0.171978 |  22.4551 |    0.154261 |  22.2687 |    0.175111 |  22.0468 |    0.513451
 162.543029373337 |    -0.040973691685115 |  25.7212 |    0.827244 |  23.2005 |    0.171583 |  23.4462 |     0.34786 |  23.2918 |    0.310873 |  22.3423 |    0.528662
